,Hydride Length,Material Orientation,Hydride Volume Fraction,Hydride Orientation,Hydride Spacing,Strain,Gumbel Mu,Gumbel Beta,Known Crack Strain
44,3e-05,60,10,30,2.5e-06,1.25,470720852.1924998,17949381.014757723,1.9465
45,3e-05,60,10,30,2.5e-06,1.5,550560838.6094965,13639906.366247185,1.9465
46,3e-05,60,10,30,2.5e-06,1.75,596893802.6185076,8648190.462292021,1.9465
47,3e-05,60,10,30,2.5e-06,2.0,604250689.5209942,6814968.529048713,1.9465
48,3e-05,60,10,30,2.5e-06,2.25,605194795.7695298,7633837.458543098,1.9465
49,3e-05,60,10,30,2.5e-06,2.5,606151990.6788819,8862278.551239293,1.9465
50,3e-05,60,10,30,2.5e-06,2.75,609801153.4099243,10742820.512499496,1.9465
51,3e-05,60,10,30,2.5e-06,3.0,613383391.8515565,13389462.924417991,1.9465
52,3e-05,60,10,30,2.5e-06,3.25,617875914.680616,16059279.211667726,1.9465
53,3e-05,60,10,30,2.5e-06,3.5,622786840.9923555,18912601.202654473,1.9465
54,3e-05,60,10,30,2.5e-06,3.75,627214248.8293824,21793351.03146249,1.9465
55,3e-05,60,10,30,2.5e-06,4.0,632276564.3319058,24150103.027963907,1.9465
56,3e-05,60,10,30,2.5e-06,4.25,637501954.7950636,25953130.47726968,1.9465
57,3e-05,60,10,30,2.5e-06,4.5,642936426.9433526,28368936.69517129,1.9465
58,3e-05,60,10,30,2.5e-06,4.75,647883486.396451,30812842.970324308,1.9465
59,3e-05,60,10,30,2.5e-06,5.0,653323476.2785721,32828320.713570338,1.9465
60,1.3333333333333337e-05,60,10,30,2.5e-06,0.25,101879447.27456531,9071422.787419457,1.025
61,1.3333333333333337e-05,60,10,30,2.5e-06,0.5,203421763.33738184,18053550.06567804,1.025
62,1.3333333333333337e-05,60,10,30,2.5e-06,0.75,304586638.85814816,26948590.341563165,1.025
63,1.3333333333333337e-05,60,10,30,2.5e-06,1.0,402544195.1297814,32211252.953624707,1.025
64,1.3333333333333337e-05,60,10,30,2.5e-06,1.25,484062056.8437006,23967806.80356139,1.025
65,1.3333333333333337e-05,60,10,30,2.5e-06,1.5,559653032.4260561,16383731.71504781,1.025
66,1.3333333333333337e-05,60,10,30,2.5e-06,1.75,599632688.0233703,11598817.68118753,1.025
